post_title,post_link,post_type,posted_by,created_date,audience,impressions,views,clicks,click_through_rate_(ctr),likes,comments,reposts,engagement_rate
"Come surround yourself with likeminded individuals at the 2024 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁 this Friday, November 8th! 

Highlighting some of our conference speakers. Do not miss Jeanette DePatie, Denise Duncan, Beate Chelette and Julie Anne Fogg discussing “The Agency of Me: A Consumer Perspective on Data Privacy.”. 

Explore how individuals can better understand their privacy rights and protect themselves in the digital world. The session promises practical tips and actionable strategies for safeguarding personal data and maintaining a secure digital presence.

Get your tickets now before they run out — with only 3 days to go. 
Registration link is in the comments ⬇ 

#LeadershipSummit #Leadership #Technology #ProfessionalDevelopment #Networking #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7259999467716685824,Organic,Talia Standring,2024-11-06,All followers,313,,24,0.076677315,8,1,1,0.108626202
"😎 Friday morning, we are launching the 2024 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁 with Opening & Welcome Remarks from Guy Finley, Christina Aguilera, and Gretchen Libby!

Get your tickets now before they run out — with only 4 days to go. 
Registration link is in the comments ⬇ 

#LeadershipSummit #Leadership #Technology #ProfessionalDevelopment 
#Networking #SCWLS ",https://www.linkedin.com/feed/update/urn:li:activity:7259606315247808512,Organic,Talia Standring,2024-11-05,All followers,684,,36,0.052631579,33,2,2,0.106725149
"Want a sneak peak into what the SCWLS will be like?

Here's a snippet from last year, Michelle M. Huynh on The Power of Feedback.

Follow us on Instagram for more - WiTHollywoodIG

#SoCalWomensLeadershipSummit #SCWLS #leadership #professionaldevelopment #leadershipdevelopment #encouragement ",https://www.linkedin.com/feed/update/urn:li:activity:7259358753748049920,Organic,Talia Standring,2024-11-05,All followers,408,184.0,21,0.051470589,18,1,2,0.102941178
"⏳ The countdown has officially begun—only 5 days to go until the 2024 SoCal Women’s Leadership Summit!

Join us to celebrate and honor the incredible nominees making a real impact. This is a day you won’t want to miss, filled with inspiration and recognition of remarkable women leaders. We can’t wait to see you there! 🌟 

Full List of 29 Nominees below: 
• Diane Arnold, Interim EVP, Enterprise Technology & CIO, The Walt Disney Company
• Sherri Brown, VP, Global Network Strategy, The Walt Disney Company
• Hollie Choi, Managing Director, Entertainment ID Registry (EIDR)
• Karen Chupka, EVP, Managing Director of Global Connections and Events, National Association of Broadcasters (NAB)
• Carol Danoff, EVP, Chief Procurement Officer, Warner Bros. Discovery
• Terri Davies, President, Trusted Partner Network
• Joe Devon, Co-Founder, Global Accessibility Awareness Day
• J. Nicole Dove, Head of Security at Riot Games
• Gail Evans, Chief Digital and Technology Officer at Disney Parks, Experiences & Products
• Johanna Faries, President of Blizzard Entertainment
• Adaire Fox-Martin, CEO & President at Equinix
• Heather Fuller, Partner Manager, Unreal Engine Partnerships, Epic Games
• Tracy Geist, Global Head of Media & Entertainment, Games, and Sports Marketing at Amazon Web Services (AWS)
• Carolyn Giardina, Senior Entertainment Technology & Crafts Editor at Variety
• Melody Hildebrandt, CTO at FOX
• Ina Huang, Director of Content Design & Localization at PlayStation
• Tammee Layne, Manager , Product Management at The Walt Disney Co
• Barbara Marshall, Global Segment Lead, Media & Entertainment at HP
• Debbie Menin, VP Sr. Client Partner at Globant
• Mira Murati, CTO at OpenAI
• Cindy Olivo, Global Marketing at Dell
• Karen Raz, founder at Raz Public Relations
• April (Cadiente) Schneider, VP of Corp IT, Intellectual Property Management, Genral Cousel at Sony Pictures 
• Lori H. Schwartz, CEO & Principal at Storytech
• Debbie Taylor, CIO at DIRECTV
• Rachel Joy Victor, Co-Founder at FBRC.ai
• ErinRose Widner, Global Head of Business Strategy, Emerging & Creative Technologies, M&E at Verizon
• Toshino Yuhaku, Global M&E Practice Leader, Amazon Web Services (AWS)
• Shelley Zalis, CEO & Founder, The Female Quotient

#SCWLS24 #SCWLS #WomenInLeadership #networking #leadership #professionaldevelopment",https://www.linkedin.com/feed/update/urn:li:activity:7259245783248457728,Organic,Talia Standring,2024-11-04,All followers,1435,,136,0.094773516,61,8,14,0.152613238
"Who's attending? Whether it is in person or virtually - let your network know! Repost, Share, Engage.

We look forward to seeing you all at the SoCal Women's Leadership Summit, Friday November 8th. 

Registration Link in the Comments
#networking #leadership #inclusive #professionaldevelopement #leaders #executives #technologytrends #digitaltransformation #inspiration #technologypartners ",https://www.linkedin.com/feed/update/urn:li:activity:7257895692071821312,Organic,Talia Standring,2024-10-31,All followers,636,,42,0.066037737,24,7,7,0.12578617
"🎉 Arrive Early for a Front-Row Seat to be Inspired and Energized at 𝗧𝗵𝗲 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁! 🎉

Join us on November 8th for an inspiring opening session from Sandra Lopez, Founder & Investor, Ambi Ventures, as she addresses ""Technology as a Leadership Driver for Women""

Sandra's presentation will explore the evolving technology landscape and highlights female entrepreneurs who are shaping the future of Women in Technology!

Don't miss the opportunity to hear from an industry leader! Registration link is in the comments ⬇ 

#LeadershipSummit #AI #Innovation #KeynoteSpeaker #Leadership #Technology #Leadership #ProfessionalDevelopment #Networking #SCWLS #artificialintelligence",https://www.linkedin.com/feed/update/urn:li:activity:7257465886024839168,Organic,Alesia Jones,2024-10-30,All followers,429,,14,0.032634031,14,3,3,0.079254076
"🎉 Exciting News for 𝗧𝗵𝗲 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁! 🎉

Join us on November 8th for an inspiring afternoon keynote from Melody Hildebrandt, CTO at FOX, as she addresses ""𝗦𝗲𝗶𝘇𝗶𝗻𝗴 𝘁𝗵𝗲 𝗔𝗜 𝗠𝗼𝗺𝗲𝗻𝘁: 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝘁𝗵𝗿𝗼𝘂𝗴𝗵 𝗜𝗻𝗶𝘁𝗶𝗮𝘁𝗶𝘃𝗲 𝗮𝗻𝗱 𝗜𝗻𝗻𝗼𝘃𝗮𝘁𝗶𝗼𝗻.""

Melody will share insights on: 
🔹Identifying opportunities in AI and technology
🔹Educating stakeholders to build trust and support
🔹Crafting strategic initiatives that drive innovation
🔹Executing plans effectively to bring ideas to life

Don't miss this opportunity to learn from one of the industry's leading voices! Registration link is in the comments ⬇  

#LeadershipSummit #AI #Innovation #KeynoteSpeaker #Leadership #Technology #Leadership #ProfessionalDevelopment #Networking #SCWLS #artificialintelligence",https://www.linkedin.com/feed/update/urn:li:activity:7256778063038828544,Organic,Talia Standring,2024-10-28,All followers,553,,38,0.068716094,14,4,3,0.106690779
"🌟COUNTDOWN: Only 2 weeks until 𝗧𝗵𝗲 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁! 🎉

Get your tickets now for this transformative event, available both virtually and in person. Link in the comments section ⬇

One of our exciting sessions will feature: Yina Arenas - VP at Microsoft speaking on 𝐂𝐚𝐫𝐞𝐞𝐫 𝐓𝐫𝐚𝐣𝐞𝐜𝐭𝐨𝐫𝐢𝐞𝐬 𝐢𝐧 𝐭𝐡𝐞 𝐀𝐠𝐞 𝐨𝐟 𝐀𝐈.

Introduced by our one of our founding members, Nina Skorus-Neely.

You will not want to miss it! 

#Leadership #WomenInBusiness #ProfessionalDevelopment #Networking #SCWLS #AI #artificialintelligence",https://www.linkedin.com/feed/update/urn:li:activity:7255668920089497601,Organic,Talia Standring,2024-10-25,All followers,705,,43,0.060992908,26,5,1,0.106382981
"What is perfection? Take a look at what our 2023 SoCal Women’s Leadership Summit Keynote, Kelly Hamilton, CIO at Sony Pictures Entertainment, had to say! Ready for more inspiration? Check out the 2024 program at https://lnkd.in/gNbGJbGs & register TODAY! We want you in the room with us to hear from incredible women across the industry! 
",https://www.linkedin.com/feed/update/urn:li:activity:7254223785841569793,Organic,Guy Finley,2024-10-21,All followers,473,1207.0,54,0.114164904,16,3,6,0.167019024
"🎉 Highlighting our last (but not least) batch of nominees for the 7th 𝐀𝐧𝐧𝐮𝐚𝐥 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐀𝐰𝐚𝐫𝐝𝐬 🎉

They will be presented on Nov. 8th at the 2024 𝐒𝐨𝐂𝐚𝐥 𝐖𝐨𝐦𝐞𝐧’𝐬 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐒𝐮𝐦𝐦𝐢𝐭 in Hollywood! Who's joining us?

• Karen Raz, founder at Raz Public Relations
• April (Cadiente) Schneider, VP of Corp IT, Intellectual Property Management, Genral Cousel at Sony Pictures 
• Lori H. Schwartz, CEO & Principal at Storytech
• Debbie Taylor, CIO at DIRECTV
• Rachel Joy Victor, Co-Founder at FBRC.ai
• ErinRose Widner, Global Head of Business Strategy, Emerging & Creative Technologies, M&E at Verizon
• Toshino Yuhaku, Global M&E Practice Leader, Amazon Web Services (AWS)
• Shelley Zalis, CEO & Founder, The Female Quotient

📅 𝗥𝗲𝗴𝗶𝘀𝘁𝗲𝗿 - link in the comments below. Join us virtually or in person!
#SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7254177345119387651,Organic,Talia Standring,2024-10-21,All followers,997,,107,0.107321963,52,8,7,0.174523577
"🎉 The nominees for the 7th 𝐀𝐧𝐧𝐮𝐚𝐥 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐀𝐰𝐚𝐫𝐝𝐬 are in 🎉
They will be presented on Nov. 8th at the 2024 𝐒𝐨𝐂𝐚𝐥 𝐖𝐨𝐦𝐞𝐧’𝐬 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐒𝐮𝐦𝐦𝐢𝐭 in Hollywood!

Highlighting our third batch of nominees:
• Melody Hildebrandt, CTO at FOX
• Ina Huang, Director of Content Design & Localization at PlayStation
• Tammee Layne, Manager , Product Management at The Walt Disney Co
• Barbara Marshall, Global Segment Lead, Media & Entertainment at HP
• Debbie Menin, VP Sr. Client Partner at Globant
• Mira Murati, CTO at OpenAI
•Cindy Olivo, Global Marketing at Dell 

📅 𝗥𝗲𝗴𝗶𝘀𝘁𝗲𝗿 - link in the comments below. Join us virtually or in person!
#SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7252479066975477760,Organic,Alesia Jones,2024-10-17,All followers,685,,39,0.056934308,24,6,7,0.110948905
"For a decade, WiTH has been at the forefront of empowering women in the tech industry and beyond. We invite you to explore our journey and the impact we’ve made in the community by visiting our website at withollywood.org.

This milestone year culminates in the 2024 SoCal Women’s Leadership Summit, where we'll bring together inspiring leaders, innovative thinkers, and passionate advocates to share insights, forge connections, and foster growth.

Don’t miss your chance to be part of this transformative event - register today and join us in shaping the future of Women in Technology! #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7252083432900435968,Organic,Guy Finley,2024-10-15,All followers,457,799.0,35,0.076586433,18,4,2,0.129102841
"🌟 Less than 1 month to go! 🌟

Don’t miss your chance to be part of 𝗧𝗵𝗲 𝗦𝗼𝗖𝗮𝗹 𝗪𝗼𝗺𝗲𝗻'𝘀 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽 𝗦𝘂𝗺𝗺𝗶𝘁! 🎉

Get your tickets now for this transformative event, available both virtually and in person. Link in the comments section ⬇

One of our exciting sessions will feature incredible speakers: Tara May, Rebecca Beam, Rosemary Ampuero Jacobs, and Anna A. Tavis, PhD discussing how to understand, manage and embrace #neurodiversity #inclusion in the #workplace. 

Join us to empower yourself and others on this vital journey!
#Leadership #WomenInBusiness #ProfessionalDevelopment #Networking #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7251700939693142018,Organic,Talia Standring,2024-10-14,All followers,757,,34,0.044914134,22,2,6,0.084544256
"We are one week away until the 𝗟͟𝗲͟𝗮͟𝗱͟𝗶͟𝗻͟𝗴͟ ͟𝗪͟𝗶͟𝘁͟𝗵͟𝗼͟𝘂͟𝘁͟ ͟𝗔͟𝘂͟𝘁͟𝗵͟𝗼͟𝗿͟𝗶͟𝘁͟𝘆͟ ͟𝗪͟𝗼͟𝗿͟𝗸͟𝘀͟𝗵͟𝗼͟𝗽͟!
 
𝗪𝗵𝗮𝘁: This #workshop focuses on fostering collaboration, building trust, and #empowering teams to achieve results, regardless of formal titles. Led by Anna Islamova and Josh LeGassick, the session will feature breakout discussions for deeper engagement. Don't miss this #opportunity to connect and enhance your #leadership #skills! 
𝗪𝗵𝗲𝗿𝗲: Virtual 
𝗪𝗵𝗲𝗻: Thursday, October 17th, from 12:00 PM to 1:00 PM PST
𝗛𝗼𝘄: Sign Up at zero-cost, Link in the comments section!",https://www.linkedin.com/feed/update/urn:li:activity:7250211173382471680,Organic,Talia Standring,2024-10-10,All followers,329,,15,0.045592707,8,1,2,0.079027355
"🎉 The nominees for the 7th 𝐀𝐧𝐧𝐮𝐚𝐥 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐀𝐰𝐚𝐫𝐝𝐬 are in 🎉
They will be presented on Nov. 8th at the 2024 𝐒𝐨𝐂𝐚𝐥 𝐖𝐨𝐦𝐞𝐧’𝐬 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐒𝐮𝐦𝐦𝐢𝐭 in Hollywood!

Highlighting our second batch of nominees:
• J. Nicole Dove, Head of Security at Riot Games
• Gail Evans, Chief Digital and Technology Officer at Disney Parks, Experiences & Products
• Johanna Faries, President of Blizzard Entertainment
• Adaire Fox-Martin, CEO & President at Equinix
• Heather Fuller, Partner Manager, Unreal Engine Partnerships, Epic Games
• Tracy Geist, Global Head of Media & Entertainment, Games, and Sports Marketing at Amazon Web Services (AWS)
• Carolyn Giardina, Senior Entertainment Technology & Crafts Editor at Variety

📅 𝗥𝗲𝗴𝗶𝘀𝘁𝗲𝗿 - link in the comments below. Join us in celebrating leaders and advocates who have made remarkable contributions to the entertainment technology field, and who embody WiTH’s core values of professional development, mentoring, networking, and community engagement.",https://www.linkedin.com/feed/update/urn:li:activity:7249576216947535872,Organic,Talia Standring,2024-10-09,All followers,2063,,143,0.069316529,68,5,4,0.106640816
"🎉 Released in Variety: Carolyn Giardina nomination for the 2024 Leadership Award! 

Join us in celebrating her remarkable achievements and the inspiring contributions of professionals in our industry at the SoCal Women's Leadership Summit #SCWLS on November 8th.

This is not just an event; it’s an opportunity to connect, empower, and uplift one another. 

⬇ Check out the full article about Carolyn’s nomination in the comments!
Don’t miss out on this incredible chance to network with like-minded professionals and be part of a transformative experience. See you there! 🎉

#Leadership #WomenInBusiness #ProfessionalDevelopment #Networking ",https://www.linkedin.com/feed/update/urn:li:activity:7248767951296757760,Organic,Talia Standring,2024-10-06,All followers,514,,19,0.036964979,12,4,1,0.070038907
"🌟 𝗕𝗲 𝗣𝗮𝗿𝘁 𝗼𝗳 𝘁𝗵𝗲 𝗠𝗼𝘀𝘁 𝗜𝗺𝗽𝗮𝗰𝘁𝗳𝘂𝗹 𝗡𝗲𝘁𝘄𝗼𝗿𝗸𝗶𝗻𝗴 𝗘𝘃𝗲𝗻𝘁 𝗶𝗻 𝗛𝗼𝗹𝗹𝘆𝘄𝗼𝗼𝗱! 🌟

We are excited to invite sponsorship opportunities for our upcoming event - the SoCal Women’s Leadership Summit! 

Join us on Friday, November 8th for a day filled with insightful discussions on: #technology, #media, #WorkplaceInclusion, #AI, #ArtificalIntelligence, #Mentoring, and many more relevant topics!

There are various tiered sponsorship levels to suit your needs. 

Don’t miss out on this chance to partner with purpose and elevate your brand. Share this with your leadership team now.

🔗 Learn more here: 
https://lnkd.in/gsAVpZSq

#24SCWLS #TogetherWiTH #WomenLeadership #Mentoring #Networking #LosAngelesEvents #TechnologyEvents #Motivation #LeadershipEvents #Leadership #SCWLS",https://www.linkedin.com/feed/update/urn:li:activity:7247410533828571136,Organic,Talia Standring,2024-10-03,All followers,534,,30,0.056179777,14,1,0,0.084269665
"🎉 The nominees for the 7𝐭𝐡 𝐀𝐧𝐧𝐮𝐚𝐥 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐀𝐰𝐚𝐫𝐝𝐬 are in! 🎉
They will be presented on Nov. 8th at the 2024 𝐒𝐨𝐂𝐚𝐥 𝐖𝐨𝐦𝐞𝐧’𝐬 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐒𝐮𝐦𝐦𝐢𝐭 in Hollywood!

Highlighting our first batch of nominees:
• Diane Arnold, Interim EVP, Enterprise Technology & CIO, The Walt Disney Company
• Sherri Brown, VP, Global Network Strategy, The Walt Disney Company
• Hollie Choi, Managing Director, Entertainment ID Registry (EIDR)
• Karen Chupka, EVP, Managing Director of Global Connections and Events, National Association of Broadcasters (NAB)
• Carol Danoff, EVP, Chief Procurement Officer, Warner Bros. Discovery
• Terri Davies, President, Trusted Partner Network
• Joe Devon, Co-Founder, Global Accessibility Awareness Day

📅 𝗥𝗲𝗴𝗶𝘀𝘁𝗲𝗿 𝗻𝗼𝘄: https://lnkd.in/gQwBpxBu

Join us in celebrating leaders and advocates who have made remarkable contributions to the entertainment technology field, and who embody WiTH’s core values of professional development, mentoring, networking, and community engagement.",https://www.linkedin.com/feed/update/urn:li:activity:7247013185390567425,Organic,Talia Standring,2024-10-01,All followers,1267,,66,0.052091554,43,7,13,0.101815313
"𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭: ️Stefanie Gamberg
✨ #️Follow us to meet other members of our incredible team! ✨ 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #business #executives #leadership #leaders #mentorship #encourage #inspire #diversity #inclusion #belonging #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7244134573796646913,Organic,Talia Standring,2024-09-24,All followers,761,,27,0.035479631,18,5,2,0.068331145
"🍂  Thrilled to unveil the Fall 2024 𝐀𝐈 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐊𝐧𝐨𝐰𝐥𝐞𝐝𝐠𝐞 𝐂𝐢𝐫𝐜𝐥𝐞 with Knowledge Circles For Impact (KC4I)! 🍂 

This exclusive mentorship and networking program is designed for professionals ready to drive AI-powered innovation.

🔗 𝐀𝐩𝐩𝐥𝐲 𝐧𝐨𝐰 𝐭𝐨 𝐠𝐞𝐭 𝐭𝐡𝐞 𝐜𝐡𝐚𝐧𝐜𝐞 𝐭𝐨 𝐛𝐞 𝐚 𝐩𝐚𝐫𝐭 𝐨𝐟 𝐭𝐡𝐢𝐬 𝐜𝐡𝐚𝐧𝐠𝐞-𝐦𝐚𝐤𝐢𝐧𝐠 𝐨𝐩𝐩𝐨𝐫𝐭𝐮𝐧𝐢𝐭𝐲! https://lnkd.in/g8QJiSKM

 😎 𝑾𝒉𝒚 𝑱𝒐𝒊𝒏? 
🔸 𝐃𝐞𝐯𝐞𝐥𝐨𝐩 𝐒𝐭𝐫𝐚𝐭𝐞𝐠𝐢𝐜 #Leadership: Master the skills to champion and lead AI initiatives aligned with your organization’s vision. 
🔸 𝐂𝐫𝐞𝐚𝐭𝐞 𝐚 𝐏𝐞𝐫𝐬𝐨𝐧𝐚𝐥𝐢𝐳𝐞𝐝 #Learning Path: Design a tailored AI learning strategy and position yourself as a thought leader in AI. 
🔸 𝐍𝐞𝐭𝐰𝐨𝐫𝐤 𝐰𝐢𝐭𝐡 𝐚 𝐒𝐮𝐩𝐩𝐨𝐫𝐭𝐢𝐯𝐞 #Community: Engage with a curated group of peers and mentors passionate about AI’s positive impact.

📅 𝑃𝑟𝑜𝑔𝑟𝑎𝑚 : 
🔹 𝐃𝐮𝐫𝐚𝐭𝐢𝐨𝐧: 4 weeks 
🔹 𝐅𝐨𝐫𝐦𝐚𝐭: Virtual live group sessions with our Knowledge Circles For Impact (KC4I) team 
🔹 𝐃𝐚𝐭𝐞𝐬: Wednesdays, October 2 - October 23, 2024

#WomenInTech #WomenInTechnology #EducationalPrograms #MentorshipPrograms #AIResearch #AIDriven #DigitalTransformation",https://www.linkedin.com/feed/update/urn:li:activity:7241886951065165824,Organic,Talia Standring,2024-09-17,All followers,331,,8,0.024169184,17,2,2,0.087613292
"🌟 Last Chance to Nominate! 🌟

Nominate now for the WiTH Leadership Awards 2024! 🏆 Celebrate the leaders and advocates driving change for women in the Media & Entertainment technology industry.

🏅 These awards honor those who embody WiTH’s core pillars of Diversity, Equity, Inclusion, Accessibility, and Belonging through professional development, mentoring, networking, and community engagement.

🔗 Cast your vote today: https://lnkd.in/gqQE2Qnb

Let’s continue inspiring and empowering a more equitable industry!

#WiTHLeadership #DiversityAndInclusion #WomenInTech #LeadershipAwards #Mentorship #Networking #EntertainmentTechnology #DEI #SCWLS #SoCalWomensLeadershipSummit",https://www.linkedin.com/feed/update/urn:li:activity:7239382554510827520,Organic,Talia Standring,2024-09-10,All followers,289,,7,0.024221454,7,0,0,0.048442908
"Excited to announce the 2024 𝐀𝐈 𝐋𝐞𝐚𝐝𝐞𝐫𝐬𝐡𝐢𝐩 𝐊𝐧𝐨𝐰𝐥𝐞𝐝𝐠𝐞 𝐂𝐢𝐫𝐜𝐥𝐞! 
A unique #mentorship and #networking experience tailored for professionals eager to lead AI-driven change. 

🔗 𝐀𝐩𝐩𝐥𝐲 𝐧𝐨𝐰 𝐭𝐨 𝐛𝐞 𝐩𝐚𝐫𝐭 𝐨𝐟 𝐭𝐡𝐢𝐬 𝐭𝐫𝐚𝐧𝐬𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐯𝐞 𝐞𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞! https://lnkd.in/g8QJiSKM

𝑾𝒉𝒚 𝑱𝒐𝒊𝒏?
🔸𝐒𝐭𝐫𝐚𝐭𝐞𝐠𝐢𝐜 #Leadership: Learn to advocate for and lead AI initiatives that align with your organization's goals.
🔸𝐏𝐞𝐫𝐬𝐨𝐧𝐚𝐥𝐢𝐳𝐞𝐝 #Learning: Build a custom AI learning plan and a strategy to establish yourself as an AI thought leader.
🔸𝐒𝐮𝐩𝐩𝐨𝐫𝐭𝐢𝐯𝐞 #Community: Connect with a select group of peers and mentors passionate about AI for positive impact.

𝑷𝒓𝒐𝒈𝒓𝒂𝒎 𝑫𝒆𝒕𝒂𝒊𝒍𝒔:
🔹 𝐃𝐮𝐫𝐚𝐭𝐢𝐨𝐧: 4 weeks 
🔹 𝐅𝐨𝐫𝐦𝐚𝐭: Virtual live group sessions with our Knowledge Circles For Impact (KC4I) team
🔹 𝐃𝐚𝐭𝐞𝐬: Wednesdays, October 2 - October 23, 2024

#womenintech #womenintechnology #educationalprograms #mentorshipprograms #AIresearch #AIdriven #digitaltransformation",https://www.linkedin.com/feed/update/urn:li:activity:7237250960576651264,Organic,Talia Standring,2024-09-05,All followers,462,,25,0.054112554,10,2,0,0.080086581
"Did you happen to know? We launched a podcast! 🎧

🔥 Dive into hot topics like Generative AI, Quantum Computing, Digital Security, and much more. Explore the intersection of technology and innovation with insights from leading experts.

Follow WiTH Podcast now on Spotify and Apple Podcasts Links in the comment section:
🎧 Spotify
🎧 Apple Podcasts

#WiTH #TechPodcast #AI #QuantumComputing #Metaverse #WomenInTech #DigitalInnovation #GenAI",https://www.linkedin.com/feed/update/urn:li:activity:7234961722829066241,Organic,Talia Standring,2024-08-29,All followers,385,,4,0.01038961,8,2,1,0.038961038
"We want to highlight our Community Engagement committee for taking time out of their days and volunteering at Codetalk St. Joseph Center. 

Their efforts are making a meaningful impact by guiding and empowering low-income, underemployed, and underserved women to pursue and achieve their future goals.

Applause to Sharon Plunkett, April (Cadiente) Schneider, Roshan Bryan, Katie Price, and the entire team for making this experience possible.",https://www.linkedin.com/feed/update/urn:li:activity:7234598038562820098,Organic,Talia Standring,2024-08-28,All followers,370,,21,0.056756757,11,2,0,0.091891892
"𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭: ️Ramandeep Brar 
✨ #️Follow us and meet other members of our incredible team! ✨ 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #business #executives #leadership #leaders #mentorship #encourage #inspire #diversity #inclusion #belonging #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7233913422982045696,Organic,Talia Standring,2024-08-26,All followers,540,,40,0.074074075,16,1,2,0.109259263
"𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭: Ana Aristizabal, MBA
️ ✨ #️Follow us and meet other members of our incredible team! ✨ 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #business #executives #leadership #leaders #mentorship #encourage #inspire #diversity #inclusion #belonging #community #networking #opportunity #WiTHmemberspotlight
",https://www.linkedin.com/feed/update/urn:li:activity:7231366815887634434,Organic,Talia Standring,2024-08-19,All followers,1983,,77,0.038830057,63,3,2,0.073121533
"𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭: Kassi Crews - MA
️ ✨ #️Follow us and meet other members of our incredible team! ✨ 

#womenleaders  #womenintechnologyhollywood #professionaldevelopment #business #executives #leadership #leaders #mentorship #encourage #inspire #diversity #inclusion #belonging #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7226293393709056000,Organic,Talia Standring,2024-08-05,All followers,468,,28,0.05982906,23,2,3,0.11965812
"𝐌𝐨𝐧𝐝𝐚𝐲 𝐌𝐞𝐦𝐛𝐞𝐫 𝐒𝐩𝐨𝐭𝐥𝐢𝐠𝐡𝐭: Annie Chang 
️ ✨ #️Follow us and meet other members of our incredible team! ✨ 

pc: Academy of Motion Picture Arts and Sciences 

#womenleaders #womenintechnologyhollywood #professionaldevelopment #business #executives #leadership #leaders #mentorship #encourage #inspire #diversity #inclusion #belonging #community #networking #opportunity #WiTHmemberspotlight",https://www.linkedin.com/feed/update/urn:li:activity:7223749123601022976,Organic,Talia Standring,2024-07-26,All followers,839,,47,0.056019071,33,2,2,0.100119188
